180410 221118.458|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\орн▒\ITSA_Login3\ITSA_Login3\bin\logs directory.
180410 221118.458|INFO|AWT-EventQueue-0|info|
180410 221118.458|INFO|AWT-EventQueue-0|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_45 build 4653 Windows NT (unknown) 10.0 (amd64) 
180410 221118.458|INFO|AWT-EventQueue-0|info|Login: team610 (aka team610)
180410 221118.459|INFO|AWT-EventQueue-0|startLog|Working directory is D:\орн▒\ITSA_Login3\ITSA_Login3\bin
180410 221118.459|INFO|AWT-EventQueue-0|startLog|Process id is 16900@LAPTOP-F0C4MNFQ
180410 221118.459|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.72:50002 as TEAM610 @ site 0
180410 221118.460|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM610 @ site 0
180410 221118.460|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #3 TEAM610 @ site 0 -> SERVER0 @ site 0
180410 221118.460|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #3 TEAM610 @ site 0 -> SERVER0 @ site 0
180410 221118.460|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
180410 221118.460|INFO|Thread-8|run|send(Serializable)
180410 221118.776|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180410 221118.827|INFO|Thread-9|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #300 SERVER0 @ site 1 -> TEAM610 @ site 1
180410 221118.827|INFO|Thread-9|dumpPacket|Packet LOGIN_SUCCESS (Seq #300 ) recieveObject
180410 221118.827|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (User-PC @ 140.116.82.72) (Contest Id: Default-5078223832395999985)
180410 221118.827|INFO|Thread-9|dumpPacket|    To: TEAM610 @ site 1
180410 221118.827|INFO|Thread-9|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@1146d39c
180410 221118.827|INFO|Thread-9|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
